Customer_ID,Full_Name,Gender,Email,Address,City,Region,Age,Income,Reg_Date
89,Jill Caldwell,Female,andrew71@hotmail.com,"106 Brown Trail
Port Jerryhaven",Jerusalem,Asia,24,75000,2014-11-11
65,Paul Cook,Female,nholloway@gmail.com,"USS Taylor
FP",Oslo,Europe,19,85000,2016-12-06
74,Nicholas Murphy,Female,nscott@yahoo.com,"9123 Jessica Inlet Apt. 071
East Rebeccastad",Lagos,Africa,37,165000,2016-06-26
94,Shari Ross,Male,jasonpaul@yahoo.com,"60181 Amanda Rest
Jaredmouth",Tegucigalpa,America,34,160000,2017-04-30
88,Joshua Ayala,Female,nguyenkathryn@hotmail.com,"4150 Isaac Inlet
Port Jason",Blantyre,Africa,5,115000,2015-07-20
34,Kimberly Burns,Male,gonzalezshawn@hotmail.com,"545 Colton Inlet
South Sethview",Manila,Asia,10,170000,2017-07-21
11,Hannah Thomas,Female,fblankenship@gmail.com,"5773 Lee Ranch Apt. 398
Patrickfort",Rome,Europe,6,195000,2018-12-23
90,Linda Thomas,Male,smithpaul@hotmail.com,"64967 Krystal Alley
Mackenzieshire",Madrid,Europe,26,145000,2020-03-15
9,Jonathan Smith,Female,alexandersteven@yahoo.com,"432 Emily Corners
Vaughnbury",Berlin,Europe,46,155000,2021-11-20
87,Daniel Thompson,Female,kevin44@yahoo.com,"7191 Lopez Ville Suite 363
West Taramouth",London,Europe,59,80000,2014-07-09
9,Rachel Gomez,Female,benjaminjarvis@hotmail.com,"575 James Hills Suite 693
Port Meaganview",Moscow,Europe,23,125000,2024-07-01
68,David Harris,Female,william98@hotmail.com,"8042 Villanueva Isle Suite 582
New Brad",Paris,Europe,45,55000,2018-10-27
61,Brandon Taylor,Female,howejames@yahoo.com,"Unit 3313 Box 0792
DP",Krasnoyarsk,Asia,40,195000,2013-06-13
20,Wanda Fisher,Male,erinkelly@hotmail.com,"621 Russell Island Suite 426
New Heather",Brisbane,Australia,39,65000,2018-05-21
22,David Ruiz II,Male,vburns@gmail.com,"84931 Jimmy Underpass
Andreaborough",Madrid,Europe,11,10000,2016-02-25
75,Tricia Copeland,Male,geraldbenjamin@yahoo.com,"17929 Daniel Square Suite 352
Brooksport",Bogota,America,39,25000,2015-04-02
38,Mr. Kevin Fleming,Female,brandon74@hotmail.com,"449 William Parkways
Bauerland",London,Europe,43,30000,2020-08-26
72,Allison Keller,Male,gregoryduncan@yahoo.com,"4732 Edward Walks
Ericaton",Lima,America,16,10000,2016-04-14
18,Jonathan Murphy,Female,kimberlysmith@yahoo.com,"9521 Gregory Crossing
Oliverview",Baku,Asia,10,115000,2013-01-05
1,David Swanson,Male,garciawanda@yahoo.com,"42539 Allen Trail
Port Bryanmouth",London,Europe,23,160000,2020-05-14
64,Jeremy Moore,Male,connorbutler@yahoo.com,"030 Yu Underpass
Port Chad",London,Europe,45,175000,2023-06-10
15,Samuel Shannon,Male,william95@hotmail.com,"44218 Eric Plains
Charlesville",Kolkata,Asia,45,70000,2024-07-30
99,Derek Johnson,Female,tannerturner@hotmail.com,"75556 Lara Field Suite 347
Riosburgh",Bogota,America,19,35000,2016-12-21
93,Melissa Williams,Male,fitzpatrickdenise@yahoo.com,"PSC 1448, Box 1904
AP",Antananarivo,Indian,43,125000,2023-04-25
71,Jill Cruz,Male,adamramirez@gmail.com,"Unit 9971 Box 0789
DP",Moscow,Europe,43,120000,2013-03-11
50,Joseph Allen,Female,mirandarojas@gmail.com,"344 Davis Forest Apt. 333
East Steven",Paris,Europe,31,50000,2023-02-08
72,Kelsey Farrell,Male,hrichard@hotmail.com,"00839 Tanner Circle Apt. 539
North Cynthia",Sao_Paulo,America,18,135000,2013-02-28
46,Claire Jones DDS,Male,eddie29@yahoo.com,"USNV Carey
FP",Chicago,America,32,15000,2024-01-23
79,Jessica Larson,Female,orrashley@hotmail.com,"674 Zachary Mill
Gomezstad",Dar_es_Salaam,Africa,35,75000,2016-02-04
62,Megan Williamson,Female,wilkinsnicholas@hotmail.com,"5005 Simmons Mountain Apt. 256
Hillmouth",Berlin,Europe,24,30000,2018-12-23
59,Timothy Rogers,Female,alexanderlydia@yahoo.com,"578 Osborn Mill Apt. 463
East Graceton",Lagos,Africa,39,195000,2015-07-18
92,Shannon Sanchez,Male,cartersamantha@hotmail.com,"Unit 8955 Box 0222
DP",Sao_Paulo,America,38,155000,2021-08-05
43,Christopher Ellis,Female,michaelsullivan@gmail.com,"79218 Robert Turnpike Apt. 130
Gilbertburgh",Kolkata,Asia,33,115000,2016-08-08
54,Mathew Cummings,Male,russell52@hotmail.com,"57263 Hernandez Parkway
Lake Ashley",Lima,America,35,15000,2020-10-05
7,Elizabeth Ross,Male,gillstanley@yahoo.com,"95494 Xavier Forest
Snydershire",Toronto,America,18,115000,2013-06-05
100,Isaac Gordon,Female,astark@gmail.com,"07951 Michelle Views
Port Anthony",Kabul,Asia,5,195000,2015-10-18
76,Adam Serrano,Male,alan23@gmail.com,"0936 Eric Pine
New Donald",Manila,Asia,5,100000,2014-05-05
10,Maria Dixon,Male,amybutler@gmail.com,"009 Reynolds Station
Hoodmouth",Amsterdam,Europe,48,170000,2021-02-20
